GSE,SRR,URL_R1,URL_R2,Species,Tissue,Chromium_version,Compressed,Read_length
GSE130636,SRR9004335,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/005/SRR9004335/SRR9004335_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/005/SRR9004335/SRR9004335_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004336,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/006/SRR9004336/SRR9004336_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/006/SRR9004336/SRR9004336_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004337,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/007/SRR9004337/SRR9004337_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/007/SRR9004337/SRR9004337_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004338,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/008/SRR9004338/SRR9004338_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/008/SRR9004338/SRR9004338_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004339,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/009/SRR9004339/SRR9004339_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/009/SRR9004339/SRR9004339_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004340,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/000/SRR9004340/SRR9004340_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/000/SRR9004340/SRR9004340_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004341,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/001/SRR9004341/SRR9004341_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/001/SRR9004341/SRR9004341_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004342,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/002/SRR9004342/SRR9004342_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/002/SRR9004342/SRR9004342_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004343,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/003/SRR9004343/SRR9004343_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/003/SRR9004343/SRR9004343_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004344,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/004/SRR9004344/SRR9004344_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/004/SRR9004344/SRR9004344_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004345,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/005/SRR9004345/SRR9004345_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/005/SRR9004345/SRR9004345_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004346,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/006/SRR9004346/SRR9004346_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/006/SRR9004346/SRR9004346_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004347,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/007/SRR9004347/SRR9004347_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/007/SRR9004347/SRR9004347_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004348,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/008/SRR9004348/SRR9004348_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/008/SRR9004348/SRR9004348_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004349,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/009/SRR9004349/SRR9004349_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/009/SRR9004349/SRR9004349_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004350,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/000/SRR9004350/SRR9004350_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/000/SRR9004350/SRR9004350_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004351,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/001/SRR9004351/SRR9004351_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/001/SRR9004351/SRR9004351_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004352,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/002/SRR9004352/SRR9004352_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/002/SRR9004352/SRR9004352_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004353,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/003/SRR9004353/SRR9004353_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/003/SRR9004353/SRR9004353_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004354,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/004/SRR9004354/SRR9004354_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/004/SRR9004354/SRR9004354_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004355,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/005/SRR9004355/SRR9004355_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/005/SRR9004355/SRR9004355_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004356,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/006/SRR9004356/SRR9004356_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/006/SRR9004356/SRR9004356_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004357,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/007/SRR9004357/SRR9004357_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/007/SRR9004357/SRR9004357_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004358,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/008/SRR9004358/SRR9004358_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/008/SRR9004358/SRR9004358_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004359,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/009/SRR9004359/SRR9004359_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/009/SRR9004359/SRR9004359_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004360,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/000/SRR9004360/SRR9004360_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/000/SRR9004360/SRR9004360_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004361,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/001/SRR9004361/SRR9004361_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/001/SRR9004361/SRR9004361_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004362,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/002/SRR9004362/SRR9004362_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/002/SRR9004362/SRR9004362_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004363,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/003/SRR9004363/SRR9004363_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/003/SRR9004363/SRR9004363_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004364,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/004/SRR9004364/SRR9004364_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/004/SRR9004364/SRR9004364_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004365,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/005/SRR9004365/SRR9004365_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/005/SRR9004365/SRR9004365_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004366,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/006/SRR9004366/SRR9004366_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/006/SRR9004366/SRR9004366_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004367,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/007/SRR9004367/SRR9004367_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/007/SRR9004367/SRR9004367_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004368,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/008/SRR9004368/SRR9004368_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/008/SRR9004368/SRR9004368_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004369,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/009/SRR9004369/SRR9004369_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/009/SRR9004369/SRR9004369_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004370,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/000/SRR9004370/SRR9004370_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/000/SRR9004370/SRR9004370_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004371,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/001/SRR9004371/SRR9004371_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/001/SRR9004371/SRR9004371_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004372,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/002/SRR9004372/SRR9004372_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/002/SRR9004372/SRR9004372_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004373,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/003/SRR9004373/SRR9004373_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/003/SRR9004373/SRR9004373_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004374,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/004/SRR9004374/SRR9004374_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/004/SRR9004374/SRR9004374_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004375,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/005/SRR9004375/SRR9004375_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/005/SRR9004375/SRR9004375_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004376,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/006/SRR9004376/SRR9004376_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/006/SRR9004376/SRR9004376_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004377,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/007/SRR9004377/SRR9004377_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/007/SRR9004377/SRR9004377_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004378,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/008/SRR9004378/SRR9004378_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/008/SRR9004378/SRR9004378_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004379,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/009/SRR9004379/SRR9004379_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/009/SRR9004379/SRR9004379_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004380,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/000/SRR9004380/SRR9004380_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/000/SRR9004380/SRR9004380_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004381,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/001/SRR9004381/SRR9004381_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/001/SRR9004381/SRR9004381_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004382,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/002/SRR9004382/SRR9004382_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/002/SRR9004382/SRR9004382_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004383,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/003/SRR9004383/SRR9004383_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/003/SRR9004383/SRR9004383_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004384,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/004/SRR9004384/SRR9004384_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/004/SRR9004384/SRR9004384_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004385,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/005/SRR9004385/SRR9004385_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/005/SRR9004385/SRR9004385_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004386,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/006/SRR9004386/SRR9004386_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/006/SRR9004386/SRR9004386_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004387,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/007/SRR9004387/SRR9004387_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/007/SRR9004387/SRR9004387_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004388,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/008/SRR9004388/SRR9004388_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/008/SRR9004388/SRR9004388_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004389,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/009/SRR9004389/SRR9004389_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/009/SRR9004389/SRR9004389_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004390,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/000/SRR9004390/SRR9004390_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/000/SRR9004390/SRR9004390_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004391,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/001/SRR9004391/SRR9004391_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/001/SRR9004391/SRR9004391_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004392,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/002/SRR9004392/SRR9004392_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/002/SRR9004392/SRR9004392_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004393,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/003/SRR9004393/SRR9004393_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/003/SRR9004393/SRR9004393_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004394,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/004/SRR9004394/SRR9004394_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/004/SRR9004394/SRR9004394_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004395,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/005/SRR9004395/SRR9004395_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/005/SRR9004395/SRR9004395_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004396,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/006/SRR9004396/SRR9004396_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/006/SRR9004396/SRR9004396_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004397,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/007/SRR9004397/SRR9004397_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/007/SRR9004397/SRR9004397_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004398,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/008/SRR9004398/SRR9004398_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/008/SRR9004398/SRR9004398_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004399,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/009/SRR9004399/SRR9004399_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/009/SRR9004399/SRR9004399_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004400,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/000/SRR9004400/SRR9004400_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/000/SRR9004400/SRR9004400_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004401,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/001/SRR9004401/SRR9004401_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/001/SRR9004401/SRR9004401_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004402,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/002/SRR9004402/SRR9004402_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/002/SRR9004402/SRR9004402_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004403,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/003/SRR9004403/SRR9004403_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/003/SRR9004403/SRR9004403_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004404,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/004/SRR9004404/SRR9004404_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/004/SRR9004404/SRR9004404_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004405,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/005/SRR9004405/SRR9004405_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/005/SRR9004405/SRR9004405_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004406,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/006/SRR9004406/SRR9004406_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/006/SRR9004406/SRR9004406_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004407,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/007/SRR9004407/SRR9004407_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/007/SRR9004407/SRR9004407_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004408,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/008/SRR9004408/SRR9004408_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/008/SRR9004408/SRR9004408_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004409,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/009/SRR9004409/SRR9004409_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/009/SRR9004409/SRR9004409_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004410,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/000/SRR9004410/SRR9004410_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/000/SRR9004410/SRR9004410_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004411,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/001/SRR9004411/SRR9004411_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/001/SRR9004411/SRR9004411_2.fastq.gz,Human,Retina,v3,0,150
